Firm.Name,Sum_Assts_Wted,Sum_Assets,Fee_Wted
ABR,27482234.020833332,27786479.416666664,0.9890505957494262
AMIDEX,40283295.9375,8221054.416666666,4.900015727402689
BlackRock,2723236701.5758333,34578377196.3,0.07875548022731467
BNY Mellon,5326229314.495833,12871099836.25,0.4138130682115533
Calvert Research and Management,957726876.6408333,2219055472.75,0.43159212935490743
CBOE Vest,58976854.7725,95025792.5,0.6206404937112205
Columbia,3627413542.9308333,13484186153.166668,0.2690124195651927
Dimensional Fund Advisors,1150964318.925,8567507335.416667,0.1343406283607255
Direxion Funds,950569437.1650001,612628352.1666666,1.551624951413277
DWS,628015617.5122223,1674142220.75,0.3751268020890586
Federated,718821837.6608334,1067614773.5833334,0.6732970125995781
Fidelity Investments,4940072678.169204,195341125193.73334,0.025289465663053755
Great-West Funds,2841925971.7519445,7733738156.5,0.3674711910647481
Green Century,25355373.843333334,47264940.25,0.5364520447761136
Guggenheim Investments,1143886728.3991666,748550246.25,1.528136199446433
GuideStone Funds,264060350.7691667,1558346039.3333333,0.16944911085482195
Hennessy,1419102731.0346668,1012793499.25,1.4011767769891388
Homestead,79355115.59083332,147706517.5,0.5372485719246162
Index Funds,4531879.708333333,34075644.416666664,0.1329946883151755
Invesco,4447731765.863889,9047964535.416666,0.49157263475713514
Ivy Funds,136520024.97666666,674929063.75,0.20227314588905443
Jackson National,20461790978.576252,37098723217.25,0.5515497355192541
JPMorgan,523704039.9841667,3529648494.5,0.14837285945051396
KKM,2364882.5083333333,31796848.25,0.0743747458785741
Legg Mason,148959810.5275,271572892.5833333,0.5485076552027042
Leland Funds,35202612.791666664,84789107.58333333,0.41517847981910244
MainStay,582307716.3391666,1422628917.75,0.40931806536038384
MassMutual,1888778114.6383333,4357317442.5,0.43347269037957714
Mutual of America,495620425.4733333,4345641243.5,0.11405000958481291
Nationwide,2810687437.0833335,7509916918.75,0.3742634529106299
New Covenant,356906271.1375,433197374,0.8238883533432961
Northern Funds,4807139852.909166,25811856866,0.18623766115955984
Pax World,350689007.17083335,640952788.6666667,0.5471370331352319
PGIM Funds (Prudential),436038540.0416667,1078417849.0833333,0.40433171651628735
Power Mutual Funds,1272905232.1991668,956191739.6666667,1.3312238324113823
Praxis Mutual Funds,425041308.5975,800197389.6666666,0.5311705762681341
Principal Funds,3213063537.079167,11019324770.916666,0.2915844304325628
Probabilities Fund,159541410.70416665,69629022.41666667,2.2913061991514936
ProFunds,4165275729.2366667,2586231008.75,1.6105582661194153
Redwood,82372282.63,194057122.25,0.42447441080715087
Rydex Funds,5676437963.826667,3540493119.25,1.6032902120225372
Schwab Funds,4107999247.2186365,72139197957.25,0.05694545217501662
SEI,460452036.65083337,8161531282.666667,0.056417358545048306
Shelton Capital Management,467349655.73833334,973066322.5833333,0.48028551075284964
State Street Global Advisors,859022392.1066667,5906657738.5,0.1454329047216499
T. Rowe Price,6600848669.573334,31015374296.083332,0.2128250527160944
TIAA Investments,5183131901.72,70886640089.58333,0.07311860027742594
Touchstone,0,48376345.5,0
Transamerica,334730117.96,652428242.75,0.51305277121221
VALIC,3961068566.3391666,11295348019.333332,0.35068140968824746
VanEck,239764530.64083332,452085576.5,0.5303520906308616
Vanguard,140532576302.80228,2510241618001.8335,0.055983685114211035
Victory Capital,2546230995.6728334,10161726231.5,0.25057071383992374
Virtus,102031804.85416667,66928621.66666667,1.524486868448135
Voya,6817157173.754167,15944395917.5,0.4275581971890135
Wells Fargo Funds,685868930.9291667,1588641496.25,0.4317329822670284
Wilshire Mutual Funds,101174044.04333334,186445205.41666666,0.5426476042504293
